Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2013","An","67054"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2014","An","87206"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2015","An","82470"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2016","An","83513"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2017","An","81439"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2018","An","95745"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2019","An","104317"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2020","An","122001"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2021","An","97962"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2022","An","95920"
"Crops and livestock products","Namibia","Stocks","Swine / pigs","2023","An","98603"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","1995","An","14100000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","1996","An","13900000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","1997","An","13700000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","1998","An","12800000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","1999","An","13600000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2000","An","13100000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2001","An","12800000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2002","An","11500000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2003","An","11100000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2004","An","11100000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2005","An","11200000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2006","An","11200000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2007","An","11600000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2008","An","11900000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2009","An","12186450"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2010","An","12254970"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2011","An","12429140"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2012","An","12233650"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2013","An","12212300"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2014","An","12238000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2015","An","12603000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2016","An","12479000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2017","An","12409000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2018","An","11909000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2019","An","11921000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2020","An","11541000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2021","An","10872000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2022","An","10706000"
"Crops and livestock products","Netherlands (Kingdom of the)","Stocks","Swine / pigs","2023","An","10375000"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","1995","An","2313137"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","1996","An","2348800"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","1997","An","2351201"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","1998","An","2286030"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","1999","An","2115213"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2000","An","1917917"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2001","An","1891456"
"Crops and livestock products","Sweden","Stocks","Swine / pigs","2002","An","1881743"
