Domain,Reporter Countries,Partner Countries,Element,Item,Year,Unit,Value
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","1995","An","50"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","1996","An","196"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","1997","An","118"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","1998","An","518"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","1999","An","366"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2000","An","171"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2001","An","490"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2002","An","112"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2003","An","272"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2004","An","550"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2006","An","522"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2008","An","45"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2009","An","156"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2010","An","1755"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2011","An","511"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2013","An","1970"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2014","An","2344"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2015","An","564"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2016","An","983"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2017","An","252"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2019","An","1056"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2020","An","11369"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2021","An","7957"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2022","An","30"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2014","t","106.1"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2015","t","61.5"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2016","t","47.86"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2017","t","21.42"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2019","t","46.27"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2020","t","633.77"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2021","t","385.09"
"Detailed trade matrix","Denmark","China, mainland","Export Quantity","Swine / pigs","2022","t","0.21"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","1995","An","594"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","1996","An","169"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","1997","An","492"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","1998","An","404"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","1999","An","376"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2000","An","1435"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2001","An","2166"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2002","An","2536"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2003","An","4473"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2004","An","4738"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2005","An","434"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2006","An","465"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2007","An","421"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2008","An","374"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2009","An","2734"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2010","An","2451"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2011","An","5962"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2012","An","2137"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2013","An","6641"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2014","An","24967"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2015","An","12099"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2016","An","22614"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2017","An","38054"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2018","An","31415"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2019","An","22293"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2020","An","12261"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2021","An","19469"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2022","An","10829"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2014","t","1349.6"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2015","t","744.2"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2016","t","930.21"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2017","t","1793.06"
"Detailed trade matrix","Denmark","France","Export Quantity","Swine / pigs","2018","t","1762.64"
