Domain,Area,Element,Item,Year,Unit,Value
"Annual population","Mexico","Rural population","Population - Est. & Proj.","1995","1000 No","25046.599"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","1996","1000 No","25194.471"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","1997","1000 No","25362.769"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","1998","1000 No","25510.018"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","1999","1000 No","25635.525"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2000","1000 No","25712.262"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2001","1000 No","25720.596"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2002","1000 No","25708.164"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2003","1000 No","25689.517"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2004","1000 No","25682.103"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2005","1000 No","25698.905"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2006","1000 No","25744.268"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2007","1000 No","25812.028"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2008","1000 No","25890.431"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2009","1000 No","25966.026"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2010","1000 No","26026.826"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2011","1000 No","26068.11"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2012","1000 No","26092.527"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2013","1000 No","26100.98"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2014","1000 No","26095.704"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2015","1000 No","26078.248"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2016","1000 No","26048.191"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2017","1000 No","26004.525"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2018","1000 No","25947.576"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2019","1000 No","25877.808"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2020","1000 No","25795.617"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2021","1000 No","25701.273"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2022","1000 No","25594.922"
"Annual population","Mexico","Rural population","Population - Est. & Proj.","2023","1000 No","25476.737"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","1995","1000 No","1161.842"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","1996","1000 No","1189.143"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","1997","1000 No","1216.821"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","1998","1000 No","1243.229"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","1999","1000 No","1266.232"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2000","1000 No","1284.412"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2001","1000 No","1297.49"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2002","1000 No","1299.607"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2003","1000 No","1297.022"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2004","1000 No","1292.615"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2005","1000 No","1287.768"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2006","1000 No","1282.581"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2007","1000 No","1277.117"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2008","1000 No","1272.323"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2009","1000 No","1269.37"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2010","1000 No","1268.79"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2011","1000 No","1270.945"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2012","1000 No","1274.757"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2013","1000 No","1279.729"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2014","1000 No","1284.455"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2015","1000 No","1287.973"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2016","1000 No","1290.418"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2017","1000 No","1292.108"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2018","1000 No","1293.06"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2019","1000 No","1293.462"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2020","1000 No","1293.438"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2021","1000 No","1292.95"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2022","1000 No","1291.955"
"Annual population","Namibia","Rural population","Population - Est. & Proj.","2023","1000 No","1290.516"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","1995","1000 No","4205.891"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","1996","1000 No","4102.433"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","1997","1000 No","3999.507"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","1998","1000 No","3897.023"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","1999","1000 No","3795.703"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","2000","1000 No","3695.706"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","2001","1000 No","3551.153"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","2002","1000 No","3364.924"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","2003","1000 No","3184.995"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","2004","1000 No","3010.783"
"Annual population","Netherlands (Kingdom of the)","Rural population","Population - Est. & Proj.","2005","1000 No","2842.946"
