Domain,Area,Element,Item,Year,Unit,Value
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2021","1000 No","5856.776"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2022","1000 No","5902.904"
"Annual population","Denmark","Total Population - Both sexes","Population - Est. & Proj.","2023","1000 No","5948.136"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","1995","1000 No","58192.203"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","1996","1000 No","58380.642"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","1997","1000 No","58568.66"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","1998","1000 No","58778.816"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","1999","1000 No","59084.21"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2000","1000 No","59483.716"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2001","1000 No","59905.128"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2002","1000 No","60327.248"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2003","1000 No","60741.126"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2004","1000 No","61175.247"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2005","1000 No","61625.032"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2006","1000 No","62049.838"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2007","1000 No","62432.439"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 No","62780.19"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 No","63106.463"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 No","63417.363"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 No","63733.777"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 No","64058.465"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2013","1000 No","64387.734"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2014","1000 No","64692.493"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 No","64916.336"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 No","65086.856"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 No","65284.776"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 No","65519.543"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2019","1000 No","65729.459"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2020","1000 No","65905.277"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2021","1000 No","66083.548"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2022","1000 No","66277.409"
"Annual population","France","Total Population - Both sexes","Population - Est. & Proj.","2023","1000 No","66438.822"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","1995","1000 No","57403.344"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","1996","1000 No","57162.092"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","1997","1000 No","57189.274"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","1998","1000 No","57215.194"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","1999","1000 No","57240.798"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2000","1000 No","57272.196"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2001","1000 No","57305.76"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2002","1000 No","57420.628"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2003","1000 No","57739.699"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2004","1000 No","58176.738"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2005","1000 No","58519.693"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2006","1000 No","58754.433"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2007","1000 No","59108.72"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 No","59561.684"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 No","59904.01"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 No","60164.213"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 No","60367.88"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 No","60531.515"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2013","1000 No","60653.868"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2014","1000 No","60664.171"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 No","60575.316"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 No","60478.108"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 No","60390.318"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 No","60277.499"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2019","1000 No","60130.136"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2020","1000 No","59912.769"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2021","1000 No","59729.35"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2022","1000 No","59619.115"
"Annual population","Italy","Total Population - Both sexes","Population - Est. & Proj.","2023","1000 No","59499.453"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","1995","1000 No","125672.665"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","1996","1000 No","125975.302"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","1997","1000 No","126265.929"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","1998","1000 No","126549.181"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","1999","1000 No","126801.564"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2000","1000 No","127027.789"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2001","1000 No","127260.148"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2002","1000 No","127484.598"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2003","1000 No","127671.251"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2004","1000 No","127815.774"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2005","1000 No","127913.331"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2006","1000 No","127997.247"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2007","1000 No","128087.682"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2008","1000 No","128155.99"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2009","1000 No","128192.47"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2010","1000 No","128185.275"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2011","1000 No","128096.432"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2012","1000 No","127928.285"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2013","1000 No","127723.645"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2014","1000 No","127486.605"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2015","1000 No","127275.872"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2016","1000 No","127159.951"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2017","1000 No","127064.69"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2018","1000 No","126913.432"
"Annual population","Japan","Total Population - Both sexes","Population - Est. & Proj.","2019","1000 No","126699.424"
